Data are continuously updated and reviewed.
The format of this file is as follows:
POS.  1-8   = Date CCYYMMDD
POS. 10-18  = Daily rain in mm
POS. 20-24  = Quality code

G2E005
Variable 10.00 Rainfall

DATE    DAILY RAIN  QUAL
19970101       1.3     1
19970102       0.0     1
19970103       0.0     1
19970104       0.0     1
19970105       0.0     1
19970106       0.0     1
19970107       0.4     1
19970108      10.3     1
19970109       0.6     1
19970110       1.1     1
19970111       0.0     1
19970112       0.0     1
19970113       0.0     1
19970114       0.0     1
19970115       0.0     1
19970116       0.8     1
19970117       0.0     1
19970118       0.0     1
19970119       0.0     1
19970120       0.0     1
19970121       0.0     1
19970122       0.0     1
19970123       0.0     1
19970124       0.0     1
19970125       0.1     1
19970126       0.0     1
19970127       0.0     1
19970128       0.0     1
19970129       0.0     1
19970130       1.0     1
19970131      14.2     1
19970201       1.5     1
19970202       0.0     1
19970203       0.0     1
19970204       0.0     1
19970205       0.0     1
19970206       1.3     1
19970207       0.0     1
19970208       0.0     1
19970209       0.0     1
19970210       0.3     1
19970211       0.0     1
19970212       0.0     1
19970213       0.0     1
19970214       0.0     1
19970215       0.0     1
19970216       0.0     1
19970217       0.0     1
19970218       0.0     1
19970219       0.0     1
19970220       0.0     1
19970221       0.0     1
19970222       4.0     1
19970223       0.0     1
19970224       0.0     1
19970225       0.0     1
19970226       0.0     1
19970227       0.0     1
19970228       0.0     1
19970301       0.0     1
19970302       0.0     1
19970303       0.6     1
19970304       0.0     1
19970305       0.0     1
19970306       0.0     1
19970307       0.0     1
19970308       0.0     1
19970309       0.0     1
19970310      20.7     1
19970311       0.0     1
19970312       0.0     1
19970313       0.0     1
19970314       0.0     1
19970315       0.0     1
19970316       0.0     1
19970317       0.0     1
19970318       0.0     1
19970319       0.6     1
19970320       0.0     1
19970321       0.3     1
19970322       0.0     1
19970323       0.0     1
19970324       0.0     1
19970325       0.0     1
19970326       0.0     1
19970327       0.0     1
19970328       0.0     1
19970329       1.7     1
19970330       0.0     1
19970331       0.0     1
19970401       0.0     1
19970402       0.0     1
19970403       0.0     1
19970404      29.0     1
19970405      24.0     1
19970406       0.0     1
19970407       0.0     1
19970408       0.0     1
19970409       0.0     1
19970410       0.0     1
19970411       0.0     1
19970412       0.0     1
19970413       0.0     1
19970414       0.0     1
19970415       0.0     1
19970416       0.0     1
19970417       0.2     1
19970418       0.0     1
19970419       0.0     1
19970420       0.0     1
19970421       0.0     1
19970422       0.4     1
19970423       8.1     1
19970424       0.0     1
19970425       4.7     1
19970426      37.5     1
19970427       1.1     1
19970428       0.0     1
19970429       0.0     1
19970430       0.0     1
19970501       0.0     1
19970502       0.0     1
19970503       0.0     1
19970504       0.0     1
19970505       0.0     1
19970506       0.0     1
19970507       0.0     1
19970508       0.0     1
19970509       0.0     1
19970510       0.0     1
19970511       0.0     1
19970512       0.0     1
19970513       0.0     1
19970514       1.0     1
19970515       0.0     1
19970516       0.0     1
19970517       0.0     1
19970518      13.4     1
19970519      43.9     1
19970520       1.6     1
19970521       5.3     1
19970522       0.3     1
19970523       0.0     1
19970524       0.0     1
19970525      42.0     1
19970526      63.8     1
19970527       6.4     1
19970528       0.0     1
19970529       0.0     1
19970530       0.0     1
19970531       0.0     1
19970601       0.0     1
19970602       0.0     1
19970603       0.0     1
19970604       0.0     1
19970605       2.0     1
19970606       0.4     1
19970607      36.8     1
19970608      56.4     1
19970609       2.3     1
19970610       0.0     1
19970611       0.0     1
19970612       0.0     1
19970613       0.0     1
19970614       0.0     1
19970615       0.0     1
19970616      30.0     1
19970617       2.5     1
19970618       0.0     1
19970619       0.0     1
19970620       0.0     1
19970621      13.0     1
19970622       2.0     1
19970623       7.0     1
19970624      25.3     1
19970625       1.9     1
19970626      46.3     1
19970627      43.4     1
19970628      18.5     1
19970629       1.5     1
19970630       0.0     1
19970701      16.0     1
19970702       0.0     1
19970703       1.0     1
19970704       0.6     1
19970705       0.0     1
19970706       0.0     1
19970707       0.0     1
19970708       0.0     1
19970709       0.0     1
19970710       0.0     1
19970711       0.0     1
19970712       0.0     1
19970713       0.0     1
19970714       0.0     1
19970715       0.0     1
19970716       0.0     1
19970717       0.1     1
19970718       0.0     1
19970719       0.6     1
19970720       0.0     1
19970721       0.0     1
19970722       0.0     1
19970723      18.0     1
19970724       5.0     1
19970725       0.0     1
19970726       0.0     1
19970727       0.0     1
19970728       0.0     1
19970729       0.0     1
19970730       0.0     1
19970731       0.0     1
19970801      43.8     1
19970802       0.0     1
19970803      46.0     1
19970804      37.0     1
19970805       0.0     1
19970806      45.6     1
19970807       0.0     1
19970808       4.0     1
19970809       0.0     1
19970810       3.3     1
19970811       1.5     1
19970812      32.1     1
19970813       1.3     1
19970814       0.0     1
19970815       0.0     1
19970816       0.0     1
19970817       0.0     1
19970818      22.6     1
19970819      11.3     1
19970820       0.0     1
19970821      74.0     1
19970822      17.7     1
19970823       0.0     1
19970824       0.0     1
19970825       0.0     1
19970826       0.0     1
19970827       0.7     1
19970828       2.5     1
19970829      25.0     1
19970830      60.0     1
19970831       0.8     1
19970901       0.0     1
